station_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
ANCONA,0.13907233,0.22625053,0.114837,-0.06282138,0.02122937,0.25449175,0.44049412,0.25564504,-0.3496554,0.12895335,0.027681163,0.15904339,-0.33167687,-0.32970408,-0.100180484,0.26053473,-0.19542438,0.4743963,-0.0019386271,0.36921567,-0.07434595,0.45308375,0.39510077,0.086436145,-0.5819814,-0.008343457,-0.32217672,-0.06790039,0.621283,0.06859154,0.043397285,-0.14532857,-0.10823729,-0.27733594,0.2733702,0.099135846,-0.033388216,0.32413617,0.5541716,0.13492776,-0.29549086,0.18182021,0.015412386,-0.30116233,0.0972996,-0.42767322,-0.07653355,-0.32167524,0.43018043,-0.3384256,0.21262532,0.031032676,-0.352883,0.076117076,0.3809443,0.17972817,0.08220329,0.21680011,-0.19626507,0.05727307,0.114821956,0.19640568,-0.21326262,0.110097006
PARMA,-0.084982425,0.030806253,-0.3603894,-0.05095815,0.11102995,-0.030580208,0.00525908,-0.30230632,-0.065645516,0.2516963,0.04126518,0.22823295,-0.40822318,-0.26062632,-0.12903382,0.858739,-0.028719494,0.5446004,0.04387911,0.1229547,0.54495585,0.47064358,0.45880094,0.14934285,-0.2657307,0.34357515,0.085010976,0.096261464,0.21553892,0.13021912,-0.15052024,0.0653092,-0.44254753,-0.12374637,0.06283832,-0.08759412,0.16459726,0.064707875,0.240085,-0.105029725,-0.06377206,-0.23502879,0.26295957,-0.40899172,-0.07999648,-0.2920147,-0.11816199,-0.06958853,0.06677137,0.01016766,0.26541892,-0.09588232,-0.13482547,0.6469933,0.5137781,0.085944206,0.15443034,0.11517613,-0.52819985,-0.11037187,-0.08905398,-0.45128655,-0.18118934,0.15576056
VENEZIA MESTRE,0.09150044,-0.020376284,-0.29426366,-0.21476081,0.48768035,-0.6342242,-0.049874473,-0.2888769,0.20719361,-0.09178877,0.25448093,0.049554553,-0.14908202,-0.41443947,0.06362812,0.075183466,-0.5610776,-0.07076348,0.60112923,0.36538765,-0.38421765,0.35038006,-0.01253795,0.02551176,-0.3087933,-0.17366442,-0.1187975,-0.09036765,-0.032484513,0.14333418,0.3957601,0.29726538,0.32039297,-0.23790617,0.33113754,-0.35389715,-0.27173764,0.37284994,0.004546971,-0.16643405,0.017071312,0.23225789,0.4296032,-0.22285156,-0.03166599,-0.1736938,0.22263406,0.014366347,0.23489958,-0.10032449,-0.21696952,-0.40301853,-0.040535316,0.26716718,0.3265301,0.13785416,-0.3880818,-0.26979142,0.10035767,0.22798896,-0.4525562,-0.022940226,0.26811728,0.08119357
MESSINA CENTRALE,0.26504624,-0.054231457,-0.19993915,-0.45888633,0.022113796,0.3730727,-0.69546306,-0.35997793,-0.1890258,0.61765337,0.06351556,0.25464773,-0.6198099,0.3000533,0.2843235,0.048031595,0.10243672,-0.2170348,0.42476907,0.34375983,-0.51995265,0.037427988,0.66898143,-0.3869135,0.0399065,-0.41484073,-0.08628948,-0.18843666,0.84530616,-0.0272079,0.06632303,0.33187452,-0.07497659,-0.45204204,0.081646256,-0.078485996,-0.1642453,-0.17101684,-0.11869264,-0.04677121,-0.027241133,0.2987906,-0.015078355,-0.28582233,-0.7125619,0.34678724,0.13530652,0.34375927,-0.35499775,0.31913385,-0.15998302,-0.4493814,-0.12829347,-0.2378878,0.049231783,0.38265336,-0.117582306,-0.3377608,-0.6016353,-0.15280613,-0.10452429,0.44396487,-0.34086502,0.3595135
PALERMO CENTRALE,0.7533985,0.03516214,-0.2594363,0.065424636,-0.26791614,0.28660166,-0.42616028,0.16081673,-0.2961994,0.17547348,-0.2550984,0.6280526,-0.75506526,0.18745416,0.6377016,-0.50274295,-0.24833958,0.19722398,0.80132055,0.17007169,0.13826665,0.3399427,0.6158123,-0.14287364,-0.14122109,-0.4771901,0.4100057,-0.68398356,0.5655205,-0.08662006,0.1980071,0.5892457,0.13187933,-0.3471448,0.018990846,-0.117748536,0.10882081,0.17478912,-0.21304984,0.5285291,0.14761236,0.14685498,-0.06036544,-0.64112717,-0.5121131,0.08015416,0.51265204,0.9206405,-0.34560448,0.21331011,0.0003965508,-0.5102348,0.116810404,-0.21269348,0.40632355,0.35790002,-0.19357415,-0.10050037,-0.18137492,0.08625384,-0.26819468,0.3881115,-0.550432,0.44383943
ORTE,0.2703531,0.27369222,-0.059107948,0.09755498,-0.04323511,-0.026053172,-0.17086405,0.15162231,-0.2860022,0.036292642,0.03442908,0.22725558,-0.8869883,-0.122040175,0.1046467,0.3564162,-0.22648261,0.26009974,0.010407879,0.269209,0.17479408,0.1712317,0.12215261,0.31915987,-0.25479308,-0.20764233,-0.7167867,-0.42776412,0.112559594,0.03832499,0.08074476,-0.4270706,0.23802498,-0.41575536,-0.23213148,0.36380312,-0.20802432,0.16819587,0.10331369,-0.028046146,0.13380077,0.05160561,0.30082196,-0.3828573,0.1911593,-0.5267557,-0.28504664,-0.04163793,0.12205911,0.0960262,-0.018122781,-0.3704583,0.39967892,0.31892756,0.44235975,0.38997108,0.023298608,-0.34312722,-0.16208898,0.18848804,0.032947306,-0.043233473,-0.19678687,0.19286257
BARI CENTRALE,0.25855514,0.22099318,-0.030715285,-0.24695936,0.46478844,0.09802029,0.25373712,0.07329955,-0.6930167,0.093965515,0.15147957,0.047954444,0.10144156,0.06452623,0.4115569,0.29403108,-0.47853494,0.3045228,0.13605846,0.43162826,-0.05112323,0.35350302,0.10169101,-0.0066137468,-0.49270004,-0.006483652,0.4144237,0.1237709,0.3032676,0.13279644,0.15945503,-0.2143938,-0.20532711,-0.41186386,0.14264198,0.42366284,0.027993007,-0.09352944,0.09463248,-0.07147463,-0.27032262,0.51331335,0.0405236,-0.0991814,-0.11953533,-0.22693172,0.46135193,-0.4346789,0.7482158,0.22197805,0.1333197,-0.29326862,-0.36302936,-0.05614197,0.3325257,-0.17454396,-0.25941515,0.014653708,-0.18548664,-0.051455308,-0.35405102,0.08815645,-0.17937976,0.30129537
GENOVA BRIGNOLE,-0.15119232,0.06391632,-0.3552596,-0.16602474,-0.35877934,-0.48978117,0.05007067,-0.008891049,-0.09378669,0.16500978,-0.02479922,0.19188832,0.17802921,-0.57505906,0.063861154,0.17914502,0.019150892,0.37429935,0.042220816,0.47293887,-0.21262714,0.5443043,0.15734445,0.05050563,-0.30061817,-0.39495754,0.05033608,0.35292152,0.17699936,-0.014887861,0.13134056,0.1800395,-0.13150497,0.35690296,0.10020673,-0.080292806,-0.22047642,0.23705675,0.012195525,-0.08463218,-0.5214404,-0.4285124,-0.011217441,-0.3981889,-0.33105743,-0.01679045,0.34819922,-0.41017422,-0.176059,-0.13342641,0.21339846,0.06275227,0.29850733,0.37826258,0.59995794,0.062240805,0.44657612,-0.110657275,-0.6870268,-0.01196062,-0.29357082,0.108586974,-0.23445953,0.1494085
MILANO LAMBRATE,-0.30012938,0.049796984,-0.15362291,-0.22163548,0.058606002,-0.1237395,0.0151034,-0.012528004,-0.032417312,-0.4809147,0.15556361,0.008483773,-0.1836737,-0.4501188,0.00955592,0.36793536,-0.014934732,0.05935022,0.1742707,0.46875772,-0.102747716,0.5350953,0.70818675,-0.3304281,-0.2522331,-0.014139766,-0.21000858,-0.33166277,0.43685305,-0.09955094,-0.061410256,0.24605203,0.20630512,0.26446542,0.121621676,-0.4636755,-0.12260949,0.030710785,0.07183172,0.18007703,-0.11104466,0.070763476,0.015917696,-0.35283047,0.095184475,0.09036337,-0.04903191,-0.48253483,0.03817638,-0.09327847,-0.0027921163,0.12782271,-0.12194213,0.4762758,0.02130634,-0.05032626,0.20996825,-0.06904531,-0.28327063,-0.5500029,-0.59810054,-0.03289787,-0.07100446,-0.080309086
CASERTA,-0.040433336,-0.29485977,0.039024908,0.015665121,0.2086229,0.16215831,-0.1232463,-0.1908458,-0.7491422,0.03328196,0.11892376,0.39478225,-0.4832376,0.3382868,0.18250206,0.15430136,-0.15664597,-0.10486554,0.26890948,0.5479611,-0.0005159587,0.02244986,-0.36672324,-0.36844724,-0.057380475,-0.0866157,0.20190886,0.112189725,0.7839503,0.22337492,0.020259487,0.24609122,0.25512248,-0.45903212,0.010610316,0.40507826,-0.07548666,0.098357424,0.0011008633,0.17777698,-0.14584403,0.18090583,0.07189124,0.3179725,0.13818702,0.11070014,0.1559993,0.118570805,0.7076406,0.10166502,0.5845967,-0.34225357,0.24751475,0.2768318,0.27165684,-0.27574506,0.09444238,-0.73197037,-0.26663032,0.25566572,-0.21280737,-0.08863072,-0.092553474,0.12535821
